id,name,property,inquiry,case,reply_check,reply,people_reply,date_inquiry,date_reply,sys_no,category,keyword,pdf_link
0, 孔文吉 ,總--個人質詢,立法院第9屆第4期第6次會議 106年10月27日 106卷087期一冊4489號0041-0044頁 ,1.中橫公路上谷關至德基段修復問題。2.國道6號延伸南投至花蓮議題。3.南橫公路全線通車時程。4.原住民地區收取觀光保育費問題。5.新竹122線隧道及台9線南澳平交道立體交叉改善工程。,已答,立法院第9屆第4期第6次會議 106年10月27日 106卷087期一冊4489號0041-0044頁 口頭答復 , 行政院交通部 賴清德賀陳旦 ,1061027,1061027,013754,公路 ; 原民土地 ; 環境政務 ; 觀光,路工程 ; 高速公路 ; 原住民族地區 ; 環境保護 ; 觀光 ; 規費,https://lis.ly.gov.tw/lylegisc/lylegiskmout?0078C8FC0004010300000000000801400000003D000000000^IMG_lypdftxt_1^xdd!cecac8cccbcfc9cccbc781cecfc9cfc7c8cfcec4cfcfcbcec4cfcfcbcb
1, 孔文吉 ,總--個人質詢,立法院第9屆第3期第6次會議 106年03月24日 106卷027期4429號0055-0059頁 ,1.原住民地區的基礎建設問題。2.中橫公路復建遙遙無期的問題。3.國工局在101年7月即已完成國道六號東延至花蓮的初步評估，迄今工程卻仍未推動。,已答,立法院第9屆第3期第6次會議 106年03月24日 106卷027期4429號0055-0059頁 口頭答復 , 行政院交通部 林全賀陳旦 ,1060324,1060324,013417,原民財經 ; 工程管理 ; 營建 ; 公路 ; 水利,住民族地區 ; 公共建設 ; 道路工程 ; 高速公路 ; 道路計畫 ; 水庫,https://lis.ly.gov.tw/lylegisc/lylegiskmout?0078C8FC0006010300000000000A01400000003D000000000^IMG_lypdftxt_1^xdd!cecac8cccbcfc9ccc8c981cecfc9cfcdc8cfcec4cfcfcacac4cfcfcac6
